Date,Close/Last,Volume,Open,High,Low,Daily Return,Cumulative Return,SMA_20,SMA_50,EMA_20,EMA_50,Volatility_20,Up_Streak,Down_Streak,Position,Strategy Return,Cumulative Strategy Return
2014-11-05,202.34,91466110,202.54,202.59,201.45,,,,,202.34,202.34,,0,0,0,,
2014-11-06,203.15,106715600,202.39,203.26,201.64,0.0040031629929822,0.0040031629929822,,,202.4171428571429,202.3717647058824,,1,0,0,0.0,0.0
2014-11-07,203.34,89443040,203.17,203.5999,202.61,0.0009352695052915,0.0049421765345458,,,202.50503401360547,202.4097347174164,,2,0,0,0.0,0.0
2014-11-10,203.98,65897370,203.38,204.04,203.13,0.0031474377889249,0.0081051695166551,,,202.64550696469067,202.47131374810596,,3,0,1,0.0,0.0
2014-11-11,204.175,54294510,204.055,204.31,203.65,0.0009559760760859,0.0090688939408918,,,202.79117296805347,202.5381249736704,,4,0,1,0.0009559760760859,0.0009559760760859959
2014-11-12,203.96,89957030,203.35,204.24,203.31,-0.0010530182441532,0.0080063259859644,,,202.90248982823888,202.5938847786245,,0,1,1,-0.0010530182441532,-9.804882831621065e-05
2014-11-13,204.19,84981760,204.16,204.83,203.21,0.001127672092567,0.0091430265889098,,,203.02510984459704,202.65647753240395,,1,0,1,0.001127672092567,0.0010295126973234314
2014-11-14,204.24,80310420,204.1,204.49,203.72,0.0002448699740438,0.0093901354156371,,,203.14081366892117,202.7185764527018,,2,0,1,0.0002448699740438,0.0012746347681147352
2014-11-17,204.37,80373860,203.85,204.58,203.65,0.0006365060712887,0.0100326183651282,,,203.2578790337858,202.78333816043897,,3,0,1,0.0006365060712887,0.0019119521521719918
2014-11-18,205.55,75858730,204.44,205.92,204.44,0.0057738415618731,0.0158643866758922,,,203.47617626866332,202.8918347031669,,4,0,1,0.0057738415618731,0.007696833022845517
2014-11-19,205.22,82226470,205.31,205.55,204.3,-0.0016054487959135,0.014233468419492,,,203.64225471926684,202.98313530304267,,0,1,1,-0.0016054487959135,0.006079027355623046
2014-11-20,205.58,72498660,204.26,205.71,204.18,0.0017542149887925,0.0160126519719285,,,203.8268018888605,203.0849731342959,,1,0,1,0.0017542149887925,0.007843906265320166
2014-11-21,206.68,142105400,207.64,207.8445,205.98,0.0053507150501022,0.021449046159929,,,204.0985350423024,203.22595458000976,,2,0,1,0.0053507150501022,0.013236591822727739
2014-11-24,207.26,65635340,207.17,207.39,206.91,0.0028062705631894,0.0243155085499655,,,204.39962694303549,203.38415243961725,,3,0,1,0.0028062705631894,0.016080007843906285
2014-11-25,207.11,79013710,207.54,207.79,206.8,-0.0007237286500046,0.0235741820697839,,,204.65775771036544,203.5302641086519,,0,1,1,-0.0007237286500046,0.015344641631532818
2014-11-26,207.64,61927210,207.29,207.76,207.03,0.0025590266042199,0.0261935356330931,,,204.9417807855687,203.6914302220381,,1,0,1,0.0025590266042199,0.01794293558192006
2014-11-28,207.2,57890090,207.49,207.87,206.91,-0.0021190522057407,0.0240189779578929,,,205.1568492821812,203.8290211937229,,0,1,1,-0.0021190522057407,0.015785861358956987
2014-12-01,205.76,103711100,206.4,206.54,205.38,-0.0069498069498069,0.0169022437481469,,,205.21429220768775,203.9047458527926,,0,2,1,-0.0069498069498069,0.008726345720168949
2014-12-02,207.085,74435510,205.81,207.34,205.782,0.0064395412130637,0.0234506276564201,,,205.39245485457465,204.0294617017027,,1,0,1,0.0064395412130637,0.015222080596137166
2014-12-03,207.89,68869870,207.3,208.15,207.1,0.0038872926576043,0.0274290797667295,205.336,,205.6303162969961,204.18085536045947,,2,0,1,0.0038872926576043,0.019168545935876358
2014-12-04,207.66,91222700,207.54,208.265,206.7,-0.0011063543219971,0.0262923791637841,205.602,,205.823619506806,204.31729240514736,0.0031602874430123,0,1,1,-0.0011063543219971,0.018040984410236716
2014-12-05,208.0,90978050,207.87,208.47,207.55,0.0016372917268612,0.0279727191855296,205.8445,,206.0308938394912,204.46171231082783,0.0030975623632661,1,0,1,0.0016372917268612,0.01970781449161718
